time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,yes_price,no_price,taker_side,day_forecast_high,day_forecast_strike_dev,day_forecast_wet_bulb_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,day_wind_gusts_max,day_wind_speed_max,day_cloud_cover_max,day_cloud_cover_min,day_sunshine_duration,hour_wind_gusts,hour_wind_speed,hour_cloud_cover,hour_cloud_cover_high,kalshi_strike_dev,kalshi_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,kalshi_dist_entropy,impact,result,outcome
2025-04-16 10:02:48.044829,6842230a-8eae-4382-b8b9-841b6b05f346,KXHIGHNY-25APR17-B62.5,136571.955,5,-1.0,62.5,46,54,1,63.6,1.1,-16.4,-17.0,18.1,45.4,23.9,100,0,43981.96,41.4,25.3,71,0,0.0,1.1,0.0,0.0,0.0,0,0,46,0,0,0,-176.118,-45.0,-46,0
2025-04-16 11:10:03.138143,3a01d878-e54a-4a89-9f10-91b9c8b837ca,KXHIGHNY-25APR17-B60.5,132536.862,53,-3.0,61.833,23,77,0,63.6,3.1,-14.4,-13.2,16.3,45.4,23.9,100,0,43981.96,44.3,26.9,79,0,1.333,1.767,0.0,0.0,0.0,0,23,46,0,0,0,-248.234,22.0,23,0
2025-04-16 11:10:03.458744,ef06e495-d664-478c-8c5e-027392b72842,KXHIGHNY-25APR17-B62.5,132536.541,13,-1.0,61.733,37,63,0,63.6,1.1,-16.4,-15.2,16.3,45.4,23.9,100,0,43981.96,44.3,26.9,79,0,-0.767,1.867,0.0,0.0,0.0,0,23,37,0,0,0,-205.72,36.0,37,0
2025-04-16 11:10:03.458744,0bf0482e-d5c2-469f-92bd-37746c99cb7d,KXHIGHNY-25APR17-B62.5,132536.541,40,-1.0,61.707,35,65,0,63.6,1.1,-16.4,-15.2,16.3,45.4,23.9,100,0,43981.96,44.3,26.9,79,0,-0.793,1.893,0.0,0.0,0.0,0,23,35,0,0,0,-196.554,34.0,35,0
2025-04-16 13:24:35.430346,a4f96824-f287-47d6-b6d6-ed1a9d1a164d,KXHIGHNY-25APR17-B64.5,124464.57,1,1.0,62.571,26,74,1,63.6,-0.9,-18.4,-16.3,15.4,45.4,23.9,100,0,43981.96,43.9,26.5,99,0,-1.929,1.029,0.0,0.0,0.0,0,23,35,26,0,0,-281.264,73.0,74,1
2025-04-16 13:25:29.571866,73b980b9-535e-44bb-84d7-600e518d0143,KXHIGHNY-25APR17-B62.5,124410.428,1,-1.0,62.566,42,58,1,63.6,1.1,-16.4,-14.3,15.4,45.4,23.9,100,0,43981.96,43.9,26.5,99,0,0.066,1.034,0.0,0.0,0.0,0,23,42,26,0,0,-313.809,-41.0,-42,0
2025-04-16 13:29:45.798961,a28a3af6-c833-42b9-a82c-5240473c9c90,KXHIGHNY-25APR17-B66.5,124154.201,1,3.0,62.92,9,91,1,63.6,-2.9,-20.4,-18.3,15.4,45.4,23.9,100,0,43981.96,43.9,26.5,99,0,-3.58,0.68,0.0,0.0,0.0,0,23,42,26,9,0,-333.584,-8.0,-9,0
2025-04-16 13:30:38.826600,11d664d8-4413-4e82-ac55-9c1977a35d9e,KXHIGHNY-25APR17-B60.5,124101.173,1,-3.0,62.827,27,73,1,63.6,3.1,-14.4,-12.3,15.4,45.4,23.9,100,0,43981.96,43.9,26.5,99,0,2.327,0.773,0.0,0.0,0.0,0,27,42,26,9,0,-350.455,-26.0,-27,0
2025-04-16 15:34:02.456506,ba80278c-3abf-4bb2-8df3-8fe081f48020,KXHIGHNY-25APR17-B62.5,116697.543,1,-1.0,62.837,39,61,1,63.6,1.1,-16.4,-11.3,12.4,45.4,23.9,100,0,43981.96,45.4,29.2,68,0,0.337,0.763,0.0,0.0,0.0,0,27,39,26,9,0,-336.352,-38.0,-39,0
2025-04-16 15:34:02.456506,607ec1d6-c6e6-42b6-adb9-67338b19091c,KXHIGHNY-25APR17-B62.5,116697.543,19,-1.0,62.837,39,61,1,63.6,1.1,-16.4,-11.3,12.4,45.4,23.9,100,0,43981.96,45.4,29.2,68,0,0.337,0.763,0.0,0.0,0.0,0,27,39,26,9,0,-336.352,-38.0,-39,0
