time,trade_id,ticker,time_to_strike,day_forecast_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,day_wind_gusts_max,day_wind_speed_max,day_cloud_cover_max,day_cloud_cover_min,day_sunshine_duration,hour_wind_gusts,hour_wind_speed,hour_cloud_cover,hour_cloud_cover_high,kalshi_strike_dev,polymk_strike_dev,kalshi_polymk_dev,kalshi_day_forecast_dev,polymk_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,yes_price,no_price,taker_side,count,shift,impact,result,outcome,count_agg_2,yes_price_vol_2,count_vol_2,taker_side_sentiment_2,yes_price_sentiment_2,count_sentiment_2,yes_price_trend_2,count_agg_5,yes_price_vol_5,count_vol_5,taker_side_sentiment_5,yes_price_sentiment_5,count_sentiment_5,yes_price_trend_5,count_agg_15,yes_price_vol_15,count_vol_15,taker_side_sentiment_15,yes_price_sentiment_15,count_sentiment_15,yes_price_trend_15,count_agg_60,yes_price_vol_60,count_vol_60,taker_side_sentiment_60,yes_price_sentiment_60,count_sentiment_60,yes_price_trend_60,count_agg_120,yes_price_vol_120,count_vol_120,taker_side_sentiment_120,yes_price_sentiment_120,count_sentiment_120,yes_price_trend_120
2025-04-03 00:00:18.385745,fb31b47b-627b-42a1-b6e2-be14014493ff,KXHIGHNY-25APR03-B70.5,86321.614,0.0,-25.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,0.0,-4.528,4.528,0.0,4.528,41,2.2,0.0,45,55,1,2,-1.0,-37.315,-45,0,20,0.707,11.314,1.0,45.5,10.0,-1,20,0.707,11.314,1.0,45.5,10.0,-1,20,0.707,11.314,1.0,45.5,10.0,-1,20,0.707,11.314,1.0,45.5,10.0,-1,20,0.707,11.314,1.0,45.5,10.0,-1
2025-04-03 00:00:18.385745,2d14f734-6254-41ff-9c92-44a684c2bea5,KXHIGHNY-25APR03-B70.5,86321.614,0.0,-25.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,0.0,-4.528,4.528,0.0,4.528,41,2.2,0.0,46,54,1,18,-1.0,-38.458,-46,0,20,0.707,11.314,1.0,45.5,10.0,-1,20,0.707,11.314,1.0,45.5,10.0,-1,20,0.707,11.314,1.0,45.5,10.0,-1,20,0.707,11.314,1.0,45.5,10.0,-1,20,0.707,11.314,1.0,45.5,10.0,-1
2025-04-03 00:03:54.884413,c2150191-58cf-4468-81ec-2325e173c76e,KXHIGHNY-25APR03-T75,86105.116,-6.0,-31.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,-5.412,-10.528,5.116,-0.588,4.528,41,2.2,0.0,5,95,1,114,5.0,-3.38,-5,0,114,0.0,0.0,1.0,5.0,114.0,0,134,0.0,0.0,1.0,5.0,114.0,0,134,0.0,0.0,1.0,5.0,114.0,0,134,0.0,0.0,1.0,5.0,114.0,0,134,0.0,0.0,1.0,5.0,114.0,0
2025-04-03 00:05:17.017088,96f2fa77-cb2d-4735-877a-e467fb33df51,KXHIGHNY-25APR03-B68.5,86022.983,2.0,-23.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,1.859,-2.528,4.387,0.141,4.528,41,2.2,0.0,20,80,0,2,-3.0,17.777,20,0,132,0.707,9.899,0.0,19.5,9.0,1,152,0.707,9.899,0.0,19.5,9.0,1,152,0.707,9.899,0.0,19.5,9.0,1,152,0.707,9.899,0.0,19.5,9.0,1,152,0.707,9.899,0.0,19.5,9.0,1
2025-04-03 00:05:17.017088,1270fc55-300e-4651-b236-b34262fbecb1,KXHIGHNY-25APR03-B68.5,86022.983,2.0,-23.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,1.886,-2.528,4.413,0.114,4.528,41,2.2,0.0,19,81,0,16,-3.0,16.824,19,0,132,0.707,9.899,0.0,19.5,9.0,1,152,0.707,9.899,0.0,19.5,9.0,1,152,0.707,9.899,0.0,19.5,9.0,1,152,0.707,9.899,0.0,19.5,9.0,1,152,0.707,9.899,0.0,19.5,9.0,1
2025-04-03 00:05:41.318568,ba26f661-733a-4c95-bc8e-b28cc90a8944,KXHIGHNY-25APR03-B72.5,85998.681,-2.0,-27.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,-1.574,-6.528,4.953,-0.426,4.528,41,2.2,0.0,24,76,1,1,1.0,57.343,76,1,177,0.0,30.406,1.0,24.0,22.5,0,177,0.0,30.406,1.0,24.0,22.5,0,197,0.0,30.406,1.0,24.0,22.5,0,197,0.0,30.406,1.0,24.0,22.5,0,197,0.0,30.406,1.0,24.0,22.5,0
2025-04-03 00:05:41.318568,6f75e042-b0be-46a4-b858-a371ddc156af,KXHIGHNY-25APR03-B72.5,85998.681,-2.0,-27.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,-1.574,-6.528,4.953,-0.426,4.528,41,2.2,0.0,24,76,1,44,1.0,58.077,76,1,177,0.0,30.406,1.0,24.0,22.5,0,177,0.0,30.406,1.0,24.0,22.5,0,197,0.0,30.406,1.0,24.0,22.5,0,197,0.0,30.406,1.0,24.0,22.5,0,197,0.0,30.406,1.0,24.0,22.5,0
2025-04-03 00:14:34.012741,9f4b3d5b-5411-4221-b33f-4f12ac4eea6b,KXHIGHNY-25APR03-T68,85465.987,4.0,-21.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,4.289,-0.53,4.818,-0.289,4.53,41,2.2,0.0,3,97,0,5,-5.0,1.393,3,0,5,0.0,0.0,0.0,3.0,5.0,0,5,0.0,0.0,0.0,3.0,5.0,0,202,0.0,0.0,0.0,3.0,5.0,0,202,0.0,0.0,0.0,3.0,5.0,0,202,0.0,0.0,0.0,3.0,5.0,0
2025-04-03 00:26:12.876928,8d22425c-85a5-4c26-802c-faddc41f74ed,KXHIGHNY-25APR03-B72.5,84767.123,-2.0,-27.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,-1.711,-6.53,4.818,-0.289,4.53,41,2.2,0.0,24,76,1,29,1.0,55.879,76,1,30,0.0,19.799,1.0,24.0,15.0,0,30,0.0,19.799,1.0,24.0,15.0,0,35,0.0,19.799,1.0,24.0,15.0,0,232,0.0,21.391,1.0,24.0,18.75,0,232,0.0,21.391,1.0,24.0,18.75,0
2025-04-03 00:26:12.876928,24b0bd5f-31d0-4230-91f9-458f0d337989,KXHIGHNY-25APR03-B72.5,84767.123,-2.0,-27.9,25.9,47.5,18.0,100,33,9149.33,37.1,15.0,99,0,-1.711,-6.53,4.818,-0.289,4.53,41,2.2,0.0,24,76,1,1,1.0,55.929,76,1,30,0.0,19.799,1.0,24.0,15.0,0,30,0.0,19.799,1.0,24.0,15.0,0,35,0.0,19.799,1.0,24.0,15.0,0,232,0.0,21.391,1.0,24.0,18.75,0,232,0.0,21.391,1.0,24.0,18.75,0
