time,trade_id,ticker,time_to_strike,day_forecast_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,day_wind_gusts_max,day_wind_speed_max,day_cloud_cover_max,day_cloud_cover_min,day_sunshine_duration,hour_wind_gusts,hour_wind_speed,hour_cloud_cover,hour_cloud_cover_high,kalshi_strike_dev,polymk_strike_dev,kalshi_polymk_dev,kalshi_day_forecast_dev,polymk_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,yes_price,no_price,taker_side,count,shift,impact,result,outcome,count_agg_2,yes_price_vol_2,count_vol_2,taker_side_sentiment_2,yes_price_sentiment_2,count_sentiment_2,yes_price_trend_2,count_agg_5,yes_price_vol_5,count_vol_5,taker_side_sentiment_5,yes_price_sentiment_5,count_sentiment_5,yes_price_trend_5,count_agg_15,yes_price_vol_15,count_vol_15,taker_side_sentiment_15,yes_price_sentiment_15,count_sentiment_15,yes_price_trend_15,count_agg_60,yes_price_vol_60,count_vol_60,taker_side_sentiment_60,yes_price_sentiment_60,count_sentiment_60,yes_price_trend_60,count_agg_120,yes_price_vol_120,count_vol_120,taker_side_sentiment_120,yes_price_sentiment_120,count_sentiment_120,yes_price_trend_120
2025-05-01 00:05:31.313103,ba301382-da2a-4d0a-a775-2e5589ed37a9,KXHIGHNY-25MAY01-B66.5,86008.687,5.1,-9.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,0.0,-0.064,0.064,5.1,5.164,11,0.0,0.0,16,84,0,5,-3.0,13.336,16,0,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1
2025-05-01 00:05:31.313103,90b06a0f-5abc-4c1a-989b-42fff46218f5,KXHIGHNY-25MAY01-B66.5,86008.687,5.1,-9.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,0.0,-0.064,0.064,5.1,5.164,11,0.0,0.0,17,83,0,20,-3.0,14.343,17,0,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1
2025-05-01 00:05:31.313103,3c8e5e0c-e78c-41ad-9aad-6a8525d44b26,KXHIGHNY-25MAY01-B66.5,86008.687,5.1,-9.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,0.0,-0.064,0.064,5.1,5.164,11,0.0,0.0,15,85,0,9,-3.0,12.345,15,0,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1
2025-05-01 00:05:31.313103,15ad9008-1202-481c-a15d-59eeca1ccb60,KXHIGHNY-25MAY01-B66.5,86008.687,5.1,-9.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,0.0,-0.064,0.064,5.1,5.164,11,0.0,0.0,17,83,0,23,-3.0,14.35,17,0,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1,57,0.957,8.617,0.0,16.25,14.25,-1
2025-05-01 00:11:02.320379,cb82cf78-dce4-4139-956a-f2c6fac2249b,KXHIGHNY-25MAY01-B68.5,85677.68,3.1,-11.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,-0.567,-2.07,1.503,3.667,5.17,11,0.0,0.0,43,57,1,1,-1.0,-33.16,-43,0,11,0.0,6.364,1.0,43.0,5.5,0,11,0.0,6.364,1.0,43.0,5.5,0,68,0.0,6.364,1.0,43.0,5.5,0,68,0.0,6.364,1.0,43.0,5.5,0,68,0.0,6.364,1.0,43.0,5.5,0
2025-05-01 00:11:02.320379,ab11e994-f592-4c34-9c4f-3167e138157c,KXHIGHNY-25MAY01-B68.5,85677.68,3.1,-11.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,-0.567,-2.07,1.503,3.667,5.17,11,0.0,0.0,43,57,1,10,-1.0,-33.237,-43,0,11,0.0,6.364,1.0,43.0,5.5,0,11,0.0,6.364,1.0,43.0,5.5,0,68,0.0,6.364,1.0,43.0,5.5,0,68,0.0,6.364,1.0,43.0,5.5,0,68,0.0,6.364,1.0,43.0,5.5,0
2025-05-01 00:11:35.016921,9d7ac375-e485-4c7c-bab1-fcd3b50feba6,KXHIGHNY-25MAY01-B68.5,85644.983,3.1,-11.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,-0.618,-2.07,1.451,3.718,5.17,11,0.0,0.0,38,62,0,9,-1.0,28.048,38,0,22,2.887,4.655,0.5,40.5,5.5,5,22,2.887,4.655,0.5,40.5,5.5,5,79,2.887,4.655,0.5,40.5,5.5,5,79,2.887,4.655,0.5,40.5,5.5,5,79,2.887,4.655,0.5,40.5,5.5,5
2025-05-01 00:11:35.016921,6a81c6d5-2f15-4ac5-a7b0-03e747d2dbc9,KXHIGHNY-25MAY01-B68.5,85644.983,3.1,-11.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,-0.618,-2.07,1.451,3.718,5.17,11,0.0,0.0,38,62,0,2,-1.0,28.113,38,0,22,2.887,4.655,0.5,40.5,5.5,5,22,2.887,4.655,0.5,40.5,5.5,5,79,2.887,4.655,0.5,40.5,5.5,5,79,2.887,4.655,0.5,40.5,5.5,5,79,2.887,4.655,0.5,40.5,5.5,5
2025-05-01 00:20:24.252039,67fd9261-651f-43d2-8969-e185da8d7d38,KXHIGHNY-25MAY01-B68.5,85115.748,3.1,-11.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,-0.567,-2.07,1.503,3.667,5.17,11,0.0,0.0,43,57,1,34,-1.0,-33.02,-43,0,106,0.957,32.909,1.0,43.75,26.5,-1,106,0.957,32.909,1.0,43.75,26.5,-1,185,2.642,24.483,0.75,42.125,16.0,-1,185,2.642,24.483,0.75,42.125,16.0,-1,185,2.642,24.483,0.75,42.125,16.0,-1
2025-05-01 00:20:24.252039,809be7ff-72cb-4ddb-a60f-7dac230ca2f1,KXHIGHNY-25MAY01-B68.5,85115.748,3.1,-11.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,-0.548,-2.07,1.521,3.648,5.17,11,0.0,0.0,45,55,1,70,-1.0,-35.009,-45,0,106,0.957,32.909,1.0,43.75,26.5,-1,106,0.957,32.909,1.0,43.75,26.5,-1,185,2.642,24.483,0.75,42.125,16.0,-1,185,2.642,24.483,0.75,42.125,16.0,-1,185,2.642,24.483,0.75,42.125,16.0,-1
2025-05-01 00:20:24.252039,ffc4bf83-f793-4062-b982-ff54cab5c893,KXHIGHNY-25MAY01-B68.5,85115.748,3.1,-11.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,-0.567,-2.07,1.503,3.667,5.17,11,0.0,0.0,43,57,1,1,-1.0,-32.888,-43,0,106,0.957,32.909,1.0,43.75,26.5,-1,106,0.957,32.909,1.0,43.75,26.5,-1,185,2.642,24.483,0.75,42.125,16.0,-1,185,2.642,24.483,0.75,42.125,16.0,-1,185,2.642,24.483,0.75,42.125,16.0,-1
2025-05-01 00:20:24.252039,8bc429cc-b031-44fe-8adc-10bf88fb86c9,KXHIGHNY-25MAY01-B68.5,85115.748,3.1,-11.7,14.8,34.9,17.4,100,0,43388.54,14.0,4.4,0,0,-0.557,-2.07,1.512,3.657,5.17,11,0.0,0.0,44,56,1,1,-1.0,-33.911,-44,0,106,0.957,32.909,1.0,43.75,26.5,-1,106,0.957,32.909,1.0,43.75,26.5,-1,185,2.642,24.483,0.75,42.125,16.0,-1,185,2.642,24.483,0.75,42.125,16.0,-1,185,2.642,24.483,0.75,42.125,16.0,-1
